3  Stimmabgabe nach Geschlecht und Altersgruppen in den Ländern 2013;;;;;;;;;;;;;;
3.2  Gültige Zweitstimmen;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Partei;Insgesamt;;Davon Wähler im Alter von ... bis unter ... Jahren;;;;;;;;;;;
;;;18 - 25;;25 - 35;;35 - 45;;45 - 60;;60 - 70;;70 und mehr;
;1000;%;1000;%;1000;%;1000;%;1000;%;1000;%;1000;%
;;;;;;;;;;;;;;
;Schleswig-Holstein;;;;;;;;;;;;;
;Insgesamt;;;;;;;;;;;;;
FDP;8,550738807;1,899802843;0,402882478;2,114827572;1,460356036;2,853442125;1,327017372;2,52867205;3,013055835;2,064975967;1,14839517;1,533674949;1,199031915;1,12493687
DIE LINKE;95,98975418;21,32700016;2,716269262;14,25835433;7,894682601;15,42570397;8,782320355;16,73497912;33,08776028;22,67645656;18,80684692;25,11643269;24,70187476;23,17540454
GRÜNE;21,75906319;4,834427882;1,830633281;9,609436857;3,78547207;7,39656988;4,401838932;8,38783825;7,336596336;5,028083096;2,188387327;2,922578315;2,216135239;2,079187559
Sonstige;39,13159335;8,694256014;3,695950653;19,40093889;7,76528718;15,17287361;6,153670799;11,72600727;14,06198;9,637276016;4,441573162;5,931694653;3,013131561;2,826932916
dar. PIRATEN;6,446594136;1,432304055;1,324920143;6,954826282;2,225142266;4,347785416;0,943973469;1,798770217;1,441293349;0,987779945;0,290299563;0,387693347;0,220965346;0,207310633
dar. NPD;7,232789559;1,606980926;0,772779083;4,056504314;2,177816675;4,255314244;1,387034461;2,643036442;2,269428513;1,555336374;0,336141184;0,44891456;0,289589644;0,271694243
dar. AfD;19,72545704;4,382601341;1,359780032;7,137814272;2,584129556;5,049223581;3,079470647;5,868025178;7,896520913;5,411823344;2,869221504;3,831828326;1,936334388;1,816677203
Zusammen;450,0855886;100;19,05037005;100;51,17875085;100;52,47882471;100;145,9123924;100;74,87865478;100;106,5865958;100
;Hamburg;;;;;;;;;;;;;
;Insgesamt;;;;;;;;;;;;;
CDU;285,927;32,09673237;17,28112525;28,0300883;43,72180532;28,62956461;40,2214687;28,9068786;65,72915948;27,10456025;37,76411373;32,55822454;81,20932752;45,41193475
SPD;288,902;32,43069096;16,57011436;26,87682439;40,80557012;26,71997868;42,02031942;30,1996996;78,84315261;32,51234303;44,30584518;38,19815993;66,35699831;37,10657101
FDP;42,869;4,812259143;2,954576025;4,792339946;7,770611576;5,088290031;7,166042936;5,150183221;10,95174068;4,51614044;5,433065501;4,684102156;8,592963279;4,805151079
DIE LINKE;78,296;8,789116654;6,021103024;9,766265041;14,59659044;9,558023185;12,77683941;9,182622063;27,76129454;11,44785186;10,28970244;8,871238048;6,85047015;3,830755813
GRÜNE;112,826;12,66528144;8,701813326;14,11439315;26,00344905;17,02737157;22,77782801;16,37026022;37,07102389;15,28688041;11,72466547;10,10838739;6,547220242;3,661179664
Sonstige;82,009;9,20591943;10,12332229;16,42008917;19,81755236;12,97677192;14,17901608;10,19035629;22,14584567;9,13222401;6,472082716;5,579887928;9,271180886;5,184407683
dar. PIRATEN;23,04968199;2,587441809;5,474637843;8,879895256;8,656779278;5,668563313;4,232656277;3,041979448;3,652841938;1,506312802;0,559772935;0,482606663;0,472993721;0,264496218
dar. NPD;4,49924011;0,505062151;0,300674589;0,487695977;1,623154831;1,062861329;0,718716571;0,516536401;1,300859596;0,536432043;0,455324424;0,392556673;0,100510099;0,05620485
dar. AfD;41,74576549;4,686170465;2,55905139;4,150796627;6,617098273;4,332955631;7,341012893;5,275932863;14,85015125;6,123717729;4,330515413;3,733541696;6,047936272;3,381982043
Zusammen;890,829;100;61,65205428;100;152,7155789;100;139,1415146;100;242,5022169;100;115,989475;100;178,8281604;100
;Männer;;;;;;;;;;;;;
CDU;123,175698;29,96206428;7,121309931;25,23812069;19,21836813;27,00396571;18,63791694;27,56289588;29,4428661;25,10121339;16,78697119;29,94863082;31,96826567;45,18379441
SPD;131,560535;32,001647;7,220137411;25,58836803;19,8199911;27,84931356;19,27934714;28,51148224;38,7583867;33,04306489;21,04090188;37,53781403;25,44177072;35,95927754
FDP;24,5793023;5,978830626;1,630627434;5,778989032;4,573732142;6,426607352;4,41236819;6,525280985;6,634038911;5,655781803;3,557874222;6,347390508;3,770661398;5,329434858
DIE LINKE;40,25598641;9,792130042;2,96935598;10,52348027;7,289039086;10,24191857;7,115184401;10,52237154;14,15709828;12,06948887;5,796729737;10,34159867;2,928578927;4,139239505
GRÜNE;45,80051958;11,14081864;3,164318901;11,2144343;8,787205212;12,34701025;9,515765944;14,07249892;16,4990032;14,06605589;5,179934067;9,241210418;2,654292253;3,751564026
Sonstige;45,73347147;11,12450942;6,110732935;21,65660767;11,48035243;16,13118457;8,659006489;12,80547043;11,80519182;10,06439516;3,690138648;6,583355555;3,988049146;5,636689665
